Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
HKDC1	10q22.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
SCGN	6p22.2	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
HPX	11p15.4	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
FOXN2	2p16.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
CAMKK2	12q24.31	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
TWNK	10q24.31	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
MAP3K2	2q14.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
OR5I1	11q12.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
TCIM	8p11.21	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
AGPAT4	6q26	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
ITIH6	Xp11.22	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
PAPOLB	7p22.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
CYP46A1	14q32.2	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
WNT2	7q31.2	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
WNT3	17q21.31-q21.32	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
XPNPEP2	Xq26.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
MALT1	18q21.32	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
MICALL1	22q13.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
RGS8	1q25.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
NKD2	5p15.33	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
ZNF79	9q33.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
ZNF132	19q13.43	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
NME9	3q22.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
MMS22L	6q16.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
KCNK2	1q41	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
ZP3	7q11.23	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
KIF25	6q27	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
ADCK1	14q24.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
PRDM7	16q24.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
SLC44A2	19p13.2	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
PAX8	2q14.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
SLC38A11	2q24.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
LCP2	5q35.1	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
IRAK3	12q14.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
FGF23	12p13.32	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
POLG2	17q23.3	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
NCOA7	6q22.31-q22.32	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
PRSS38	1q42.13	7 (3.24%)	2 (1.32%)	1.29	0.208	0.465	Co-occurrence	
DSG1	18q12.1	35 (16.20%)	19 (12.58%)	0.36	0.209	0.465	Co-occurrence	
GRXCR1	4p13	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
AMER3	2q21.1	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
SYCP2L	6p24.2	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
MUSK	9q31.3	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
TSPOAP1	17q22	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
TIAM2	6q25.2-q25.3	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
PCDHGA2	5q31.3	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
SGCZ	8p22	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
CASS4	20q13.31	19 (8.80%)	9 (5.96%)	0.56	0.211	0.465	Co-occurrence	
CCDC88B	11q13.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
CRNN	1q21.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
SLC4A4	4q13.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
UGT2A2	4q13.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
BAAT	9q31.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
NTRK1	1q23.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
NUP98	11p15.4	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
CDC27	17q21.32	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
CENPF	1q41	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
COL6A2	21q22.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
CPA3	3q24	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
OR2Z1	19p13.2	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
ZNF777	7q36.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
NEK5	13q14.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
USHBP1	19p13.11	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
USH1C	11p15.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
SATB1	3p24.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
CPT1C	19q13.33	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
GIMAP1	7q36.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
GRIK4	11q23.3	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
IGHV4OR15-8	15q11.2	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
LRRN2	1q32.1	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
HMGCS2	1p12	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
RAI1	17p11.2	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
ITGA1	5q11.2	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
OR4A16	11q11	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
ITGAE	17p13.2	14 (6.48%)	6 (3.97%)	0.71	0.211	0.465	Co-occurrence	
NLRP5	19q13.43	38 (17.59%)	21 (13.91%)	0.34	0.212	0.465	Co-occurrence	
DSG4	18q12.1	38 (17.59%)	21 (13.91%)	0.34	0.212	0.465	Co-occurrence	
KIAA1210	Xq24	27 (12.50%)	14 (9.27%)	0.43	0.213	0.465	Co-occurrence	
PGK2	6p12.3	27 (12.50%)	14 (9.27%)	0.43	0.213	0.465	Co-occurrence	
UGT2B4	4q13.3	27 (12.50%)	14 (9.27%)	0.43	0.213	0.465	Co-occurrence	
TRAV12-2	14q11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SERPINE3	13q14.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ASPHD1	16p11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TTC14	3q26.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TRAV3	14q11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
XRRA1	11q13.4	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ABCB7	Xq13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TM6SF2	19p13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ACOX2	3p14.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IGLL5	22q11.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TPCN1	12q24.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C3ORF67	3p14.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TNFRSF25	1p36.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRR23A	3q23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DEFB116	20q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IGLV2-11	22q11.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C9ORF139	9q34.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRSS45	3p21.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAVS	20p13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ACTN4	19q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAD1L1	7p22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TSGA13	7q32.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
WDR31	9q32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BZW2	7p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF766	19q13.41	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IFT80	3q25.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ATG4A	Xq22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CAPN12	19q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FOXR1	11q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LDHAL6A	11p15.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DDIT4L	4q24	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RNF19B	1p35.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RGS5	1q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ALDH2	12q24.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PPFIBP1	12p11.23-p11.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF622	5p15.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AMBP	9q32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FTHL17	Xp21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OR2AG1	11p15.4	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AMY2A	1p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LRRC56	11p15.5	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OR9G1	11q12.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PLOD3	7q22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MORN3	12q24.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PAQR9	3q23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DPY19L2	12q14.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
APOBEC1	12p13.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PSTPIP2	18q21.1|tdb7990	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FAS	10q23.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FAM3B	21q22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AQP6	12q13.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RBM15B	3p21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FCHO2	5q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF486	19p12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ARAF	Xp11.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SART1	11q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ARNTL	11p15.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OSGIN1	16q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRSS48	4q31.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PHACTR4	1p35.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NEMF	14q21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
EVI5L	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GRAMD2B	5q23.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KCTD14	11q14.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
UBQLN1	9q21.32|9q21.2-q21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DONSON	21q22.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OBP2B	9q34.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OR5AU1	14q11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ATIC	2q35	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MUC5AC	11p15.5	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KRTAP13-1	21q22.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OR1L4	9q33.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GPR85	7q31.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VSTM2L	20q11.23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SCARF2	22q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SAXO2	15q25.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OR4F15	15q26.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NAGA	22q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
EXOC3L1	16q22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC24A2	9p22.1-p21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TRIM65	17q25.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BDKRB1	14q32.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BDNF	11p14.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TRIP10	19p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MLKL	16q23.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BMP7	20q13.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ARMC8	3q22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FAM149A	4q35.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NFKB1	4q24	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
USP49	6p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FBXL5	4p15.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LZTFL1	3p21.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CNOT10	3p22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ACBD5	10p12.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CLDN17	21q21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FGF21	19q13.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TMEM38A	19p13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PNKD	2q35	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TIPARP	3q25.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CCDC157	22q12.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NT5E	6q14.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CAMK2A	5q32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CAST	5q15	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CASQ2	1p13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DUSP15	20q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LOC101929950	17q12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OLR1	12p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CCNT2	2q21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
APOBEC3D	22q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC35A5	3q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MOCOS	18q12.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OXTR	3p25.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PAFAH1B1	17p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GDF15	19p13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AHI1	6q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PAX4	7q32.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CDC25C	5q31.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PBX3	9q33.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CKAP2	13q14.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PCCA	13q32.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MTDH	8q22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ANKZF1	2q35	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ARMC1	8q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SPAG6	10p12.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CETP	16q13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PREPL	2p21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FNBP1L	1p22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SERPINF1	17p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC32A1	20q11.23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PEX6	6p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NSUN2	5p15.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PFKFB2	1q32.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CHRNB1	17p13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DNTTIP2	1p22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SOCS7	17q12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC47A1	17p11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RALGPS1	9q33.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CCDC138	2q13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CCR6	6q27	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
UBE2F	2q37.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PIP4K2A	10p12.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TMEM40	3p25.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PLAT	8p11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CPPED1	16p13.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF326	1p22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DEPDC4	12q23.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AK8	9q34.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LSG1	3q29	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CNPPD1	2q35	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BANP	16q24.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C2ORF42	2p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC36A1	5q33.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TPRX1	19q13.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
POU5F1	6p21.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LRFN3	19q13.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SVOP	12q24.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PPP2R5B	11q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PPP3CA	4q24	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CTNND1	11q12.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRKACB	1p31.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PKN2	1p22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAPK9	5q35.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAP2K7	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF507	19q13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CD55	1q32.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRPSAP2	17p11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C5AR2	19q13.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CMPK2	2p25.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SMPD4	2q21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TMCC2	1q32.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MCCC2	5q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RSPH3	6q25.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ADIPOR1	1q32.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SAXO1	9p22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZC2HC1A	8q21.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GSDME	7p15.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PDCD4	10q25.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZBTB1	14q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC23A2	20p13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
URGCP	7p13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BCLAF3	Xp22.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NR1I3	1q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PTPN6	12p13.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VENTX	10q26.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NECTIN1	11q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DPYSL3	5q32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TUBE1	6q21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NSUN5	7q11.23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HPGDS	4q22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
QSOX2	9q34.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FAR2	12p11.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RAD17	5q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAP7D3	Xq26.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
