Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
SETD4	21q22.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SGCG	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SGCZ	8p22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SH3BGR	21q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SH3GL2	9p22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SHB	9p13.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SHC4	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SHF	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SHISA2	13q12.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SIK1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SIM2	21q22.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SKA3	13q12.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLAIN1	13q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC11A1	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC12A1	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC17A6	11p14.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC19A1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC22A24	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC22A25	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC22A6	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC22A8	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC23A3	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC24A5	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC25A15	13q14.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC25A43	Xq24	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC25A48	5q31.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC25A5	Xq24	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC25A51	9p13.2-p13.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC25A53	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC27A2	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC35C1	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC37A1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC3A2	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC46A3	13q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC4A3	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC5A11	16p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC6A14	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC6A5	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC7A1	13q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC8A3	14q24.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC9A2	2q12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLC9A4	2q12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SLX4	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMAD4	18q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMAD9	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMAGP	12q13.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMARCAL1	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMG1	16p12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMIM10	Xq26.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMIM11A	21q22.11-q22.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMIM17	19q13.43	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMIM2	13q14.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMIM22	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SMTN	22q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNHG1	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORA1	11q21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORA35	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORA37	18q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORA70C	9q33.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD102	13q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD13	8p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD14A	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD14B	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD27	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD30	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD89	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD90	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNORD96B	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SNRNP200	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOD1	21q22.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOHLH2	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SORD	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOWAHC	2q13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOWAHD	Xq24	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOX12	20p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOX3	Xq27.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SOX6	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPACA4	19q13.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPANXA1	Xq27.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPANXA2	Xq27.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPANXB1	Xq27.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPANXC	Xq27.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPANXD	Xq27.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPATA13	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPEG	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPART	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPART-AS1	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPHK2	19q13.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPON1	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPPL2A	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPRED1	15q14	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SPTY2D1	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SRL	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SRPX2	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SRXN1	20p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SSBP4	19p13.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SSR4P1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STAG2	Xq25	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STAR	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STARD6	18q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STARD7	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STC1	8p21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STK11IP	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STK16	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STK36	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STOM	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STOML3	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STRBP	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STX5	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
STXBP5L	3q13.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SUMO3	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SUPT20H	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SUV39H2	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SVIL	10p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SVIP	11p14.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SYT13	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SYT15	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SYT17	16p12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SYTL4	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TAF6L	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TAF7L	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TBC1D20	20p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TBC1D4	13q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TBC1D8	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TBC1D8B	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL1	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL2	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL3	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL4	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL5	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL6	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL7	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCEAL8	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCF15	20p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCF4	18q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCP11L2	12q23.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCP11X1	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCP11X2	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TCP11X3P	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TEX13A	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TEX13B	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TFAP4	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TFF1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TFF2	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TFF3	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TGFBRAP1	2q12.1-q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
THNSL1	10p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TIAM1	21q22.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TIFAB	5q31.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TIGD7	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TIMM8A	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TLR4	9q33.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMBIM1	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMC5	16p12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMC7	16p12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM127	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM131	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM136	11q23.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM164	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM169	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM179B	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM182	2q12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM198	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM2	9q21.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM223	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM225	11q24.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM229B	14q24.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM31	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM35A	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM72	10q11.21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMEM86A	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMOD2	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TMOD3	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PROSER1	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PRPS1	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PRRG4	11p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PRSS3	9p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PRTFDC1	10p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PRTG	15q21.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PSMA1	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PSMB7	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PSMD10	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PSMD5	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PSMG1	21q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PSPC1	13q12.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTCHD3P1	10p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTER	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTGS1	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTMAP5	13q31.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTPN20	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTPN5	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTPRN	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PTTG1IP	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PWP2	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
PYGO1	15q21.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAB11FIP1	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAB14	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAB27B	18q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAB40A	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAB40AL	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAB9B	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RABEPK	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RABGAP1	9q33.2-q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAD51B	14q24.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAET1E	6q25.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAET1G	6q25.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAET1K	6q25.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAET1L	6q25.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAG2	11p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RAPH1	2q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RASL11A	13q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RASSF4	10q11.21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBBP6	16p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBCK1	20p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBFOX1	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBM18	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBM41	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBMX	Xq26.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBMXL3	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBP3	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RBPMS	8p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RC3H2	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RCAN1	21q22.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RESP18	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RFPL4A	19q13.42	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RFPL4AL1	19q13.42	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RFX8	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RFXAP	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RTL9	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RGPD3	2q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RHOXF1	Xq24	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RIPK4	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RIPPLY1	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RIPPLY3	21q22.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RMST	12q23.1|12q21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP1	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP109	19q13.42	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP125	9q33.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP128	9q33.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP139	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP171	9p13.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP182	18q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP194	Xq21.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP2	13q14.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP213	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP220	10p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP25	3q23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP258	9p22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP287	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP38	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP43	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SKP90	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL118P	Xq24	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL166P	13q12.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL181P	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL187P	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL188P	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL210P	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL248P	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL259P	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL266P	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
